City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
221,Tasiilaq,GL,65.6145,-37.6368,24.8,86,90,5.75,light rain
222,Mount Gambier,AU,-37.8333,140.7667,71.6,64,75,19.57,broken clouds
223,Marondera,ZW,-18.1853,31.5519,66.22,89,100,3.13,light rain
224,Rawson,AR,-43.3002,-65.1023,60.57,53,31,5.53,scattered clouds
225,Williston,US,48.147,-103.618,16.0,83,100,1.01,overcast clouds
226,Thibodaux,US,29.7958,-90.8229,45.0,84,5,4.16,clear sky
227,Tarauaca,BR,-8.1614,-70.7656,71.65,98,100,2.39,overcast clouds
228,Wanaka,NZ,-44.7,169.15,56.88,49,5,5.19,clear sky
229,Huarmey,PE,-10.0681,-78.1522,70.27,77,92,2.53,overcast clouds
230,Dikson,RU,73.5069,80.5464,-33.11,85,1,1.86,clear sky
231,Longyearbyen,SJ,78.2186,15.6401,-2.2,50,20,26.46,few clouds
232,Kangaatsiaq,GL,68.3065,-53.4641,5.45,86,0,8.23,clear sky
233,Rio Grande,BR,-32.035,-52.0986,72.0,95,55,10.45,broken clouds
234,Aksarka,RU,66.5606,67.7975,-39.35,80,26,8.46,scattered clouds
235,Lensk,RU,60.7253,114.9278,-34.78,77,89,2.66,overcast clouds
236,Vardo,NO,70.3705,31.1107,17.6,79,75,23.02,light snow
237,Vredendal,ZA,-31.6683,18.5012,65.62,54,0,2.17,clear sky
238,Comodoro Rivadavia,AR,-45.8667,-67.5,57.2,54,0,6.91,clear sky
239,Ngunguru,NZ,-35.6167,174.5,66.99,51,0,8.99,clear sky
240,Palana,RU,59.1167,159.9667,-9.83,94,73,4.32,broken clouds
241,Salalah,OM,17.0151,54.0924,75.2,60,20,3.44,few clouds
242,Rocha,UY,-34.4833,-54.3333,61.81,89,76,6.91,broken clouds
243,Muzhi,RU,65.3667,64.6667,-34.49,82,8,4.76,clear sky
244,Utiel,ES,39.5667,-1.2,62.6,55,0,8.05,clear sky
245,Atar,MR,20.5169,-13.0499,62.96,33,0,10.0,clear sky
246,Atuona,PF,-9.8,-139.0333,78.71,79,87,18.88,overcast clouds
247,Chilca,PE,-12.5211,-76.7372,72.0,83,0,8.05,clear sky
248,Lufilufi,WS,-13.8745,-171.5986,82.4,94,90,14.97,light rain
249,Hambantota,LK,6.1241,81.1185,86.0,74,75,3.44,broken clouds
250,Yangambi,CD,0.8102,24.4336,75.49,88,98,2.13,light rain
251,Caravelas,BR,-17.7125,-39.2481,74.66,89,85,7.18,overcast clouds
252,Mandera,KE,3.9366,41.867,85.55,34,6,17.34,clear sky
253,Upernavik,GL,72.7868,-56.1549,-12.24,82,0,12.64,clear sky
254,Simga,IN,21.6333,81.7,73.4,73,75,4.61,haze
255,Karasburg,NA,-28.0167,18.75,77.18,18,0,7.38,clear sky
256,Moose Factory,CA,51.2585,-80.6094,3.2,85,90,9.22,overcast clouds
257,Sitka,US,57.0531,-135.33,35.6,55,90,18.41,overcast clouds
258,Staraya Toropa,RU,56.2801,31.6702,31.15,99,100,6.22,snow
259,Myitkyina,MM,25.3833,97.4,85.59,23,0,1.1,clear sky
260,Sfantu Gheorghe,RO,45.8667,25.7833,25.0,83,100,0.25,overcast clouds
261,Sorong,ID,-0.8833,131.25,81.55,77,100,9.44,overcast clouds
262,Zakharovo,RU,54.366,39.2792,32.59,95,100,14.85,overcast clouds
263,Acarau,BR,-2.8856,-40.12,77.72,85,100,9.66,light rain
264,Pointe-Noire,CG,-4.7761,11.8635,77.0,94,75,3.44,moderate rain
265,Katsuura,JP,35.1333,140.3,51.8,18,20,19.57,few clouds
266,Souillac,MU,-20.5167,57.5167,86.0,62,40,16.11,scattered clouds
267,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,75.81,74,89,10.02,overcast clouds
268,Rio Gallegos,AR,-51.6226,-69.2181,39.2,70,0,18.41,clear sky
269,Kirakira,SB,-10.4544,161.9205,79.97,85,100,16.02,heavy intensity rain
270,Rancho Palos Verdes,US,33.7445,-118.387,52.72,86,100,14.23,moderate rain
271,Natal,BR,-5.795,-35.2094,80.6,74,40,6.91,scattered clouds
272,Chokurdakh,RU,70.6333,147.9167,-17.41,88,100,6.69,overcast clouds
