City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
376,Sirur,IN,81.3,overcast clouds,18.8333,74.3833,
377,Angoche,MZ,85.62,broken clouds,-16.2325,39.9086,
378,Talca,CL,64.4,overcast clouds,-35.4333,-71.6667,
379,Kieta,PG,82.24,moderate rain,-6.2167,155.6333,
381,Namatanai,PG,83.59,light rain,-3.6667,152.4333,
382,Madras,IN,86.0,haze,13.0878,80.2785,
383,High Rock,BS,64.4,broken clouds,26.6208,-78.2833,
384,Sawtell,AU,76.23,few clouds,-30.3833,153.1,
385,Honiara,SB,77.86,light rain,-9.4333,159.95,
386,Jian,CN,60.85,clear sky,27.1172,114.9793,
391,Coahuayana,MX,74.79,broken clouds,18.7333,-103.6833,
395,Tefe,BR,71.91,overcast clouds,-3.3542,-64.7114,
396,Grand-Lahou,CI,78.22,clear sky,5.1367,-5.0242,
398,Dhidhdhoo,MV,81.16,clear sky,6.8833,73.1,
399,Bambous Virieux,MU,86.0,scattered clouds,-20.3428,57.7575,
400,Hasilpur,PK,71.19,clear sky,29.7122,72.5553,
404,Mineros,BO,73.4,overcast clouds,-17.1167,-63.2333,
406,Dicabisagan,PH,71.58,broken clouds,17.0818,122.4157,
413,Marsh Harbour,BS,64.49,broken clouds,26.5412,-77.0636,
414,Gizo,SB,82.54,light rain,-8.103,156.8419,
416,Mitsamiouli,KM,83.52,few clouds,-11.3847,43.2844,
417,Puerto Ayacucho,VE,73.71,broken clouds,5.6639,-67.6236,
418,Taltal,CL,62.56,scattered clouds,-25.4,-70.4833,
421,Ocos,GT,68.0,overcast clouds,14.5094,-92.1933,
422,Mizan Teferi,ET,73.98,broken clouds,6.9833,35.5833,
423,Cayenne,GF,73.4,broken clouds,4.9333,-52.3333,
425,Codrington,AU,69.87,clear sky,-38.2667,141.9667,
434,Lodja,CD,75.74,overcast clouds,-3.4833,23.4333,
438,Loiza,PR,71.55,scattered clouds,18.4313,-65.8802,
442,San Policarpo,PH,78.19,overcast clouds,12.1791,125.5072,
445,Cabatuan,PH,78.76,broken clouds,10.8794,122.486,
447,Ilebo,CD,78.85,overcast clouds,-4.3167,20.5833,
448,Hienghene,NC,77.65,overcast clouds,-20.6833,164.9333,
453,Bandarbeyla,SO,77.22,scattered clouds,9.4942,50.8122,
455,Am Timan,TD,76.64,overcast clouds,11.0297,20.2827,
458,Mabaruma,GY,69.4,overcast clouds,8.2,-59.7833,
460,Riyadh,SA,75.43,scattered clouds,24.6877,46.7219,
461,Gorontalo,ID,89.22,clear sky,0.5412,123.0595,
463,Lavumisa,SZ,79.79,broken clouds,-27.31,31.892,
466,Jati,PK,77.95,clear sky,24.3539,68.2671,
470,San Vicente,AR,67.21,light rain,-26.6167,-54.1333,
472,Sandy Bay,AU,60.06,light rain,-42.913000000000004,147.3532,
473,Maningrida,AU,78.78,light rain,-12.0667,134.2667,
474,Daru,PG,81.64,heavy intensity rain,-9.0763,143.2092,
476,Bowen,AU,82.4,scattered clouds,-20.0167,148.2333,
478,Meulaboh,ID,85.77,clear sky,4.1363,96.1285,
480,Odweyne,SO,76.48,clear sky,9.4092,45.06399999999999,
481,Middelburg,ZA,68.68,broken clouds,-25.7751,29.4648,
482,Ambilobe,MG,84.96,light rain,-13.2,49.05,
483,Olinda,BR,78.8,scattered clouds,-8.0089,-34.8553,
484,Byron Bay,AU,77.16,overcast clouds,-28.65,153.6167,
486,Qingyuan,CN,72.25,clear sky,23.7,113.0333,
489,Ballina,AU,80.6,scattered clouds,-28.8667,153.5667,
490,Bahir Dar,ET,74.28,clear sky,11.5936,37.3908,
491,Palauig,PH,82.38,clear sky,15.435,119.9045,
494,Guanare,VE,70.81,clear sky,9.0418,-69.7421,
495,Arlit,NE,60.69,scattered clouds,18.7369,7.3853,
496,Puerto Escondido,MX,77.22,overcast clouds,15.85,-97.0667,
497,Casambalangan,PH,70.14,light rain,18.3765,122.1274,
499,Morondava,MG,84.83,clear sky,-20.2833,44.2833,
500,Key West,US,62.6,clear sky,24.5557,-81.7826,
502,Kesinga,IN,88.41,clear sky,20.2,83.2333,
504,The Valley,AI,77.0,broken clouds,18.217,-63.0578,
507,Kalemie,CD,76.53,few clouds,-5.9475,29.1947,
509,Buchanan,LR,78.64,broken clouds,5.8808,-10.0467,
512,Antofagasta,CL,66.2,broken clouds,-23.65,-70.4,
513,Lobito,AO,78.13,overcast clouds,-12.3481,13.5456,
514,Camabatela,AO,66.11,light rain,-8.1881,15.375,
516,Port Macquarie,AU,78.01,overcast clouds,-31.4333,152.9167,
518,Santiago Del Estero,AR,74.5,clear sky,-27.7951,-64.2615,
519,Narwar,IN,67.95,clear sky,25.65,77.9,
520,Kapit,MY,79.79,overcast clouds,2.0167,112.9333,
522,Pilani,IN,69.1,clear sky,28.3684,75.6041,
524,Axim,GH,77.97,clear sky,4.8699,-2.2405,
527,Danane,CI,71.49,overcast clouds,7.2596,-8.155,
528,Richards Bay,ZA,70.97,overcast clouds,-28.783,32.0377,
534,Nortelandia,BR,72.57,light rain,-14.4547,-56.8028,
535,Puerto Maldonado,PE,71.1,overcast clouds,-12.6,-69.1833,
536,Tuy Hoa,VN,73.8,light rain,13.0833,109.3,
538,Puerto Madryn,AR,65.48,clear sky,-42.7692,-65.0385,
539,Santa Luzia,BR,68.0,clear sky,-19.7697,-43.8514,
541,Metro,ID,84.11,overcast clouds,-5.1131,105.3067,
543,Ruteng,ID,66.69,light rain,-8.6136,120.4721,
